Wed Apr 28 19:06:49 2021,43,0,5.43,-0.23,-5.4,-5.18,-3.53,2.08,2
Wed Apr 28 19:06:50 2021,44,0,5.25,-0.17,-5.17,-2.62,-0.27,0.72,2
Wed Apr 28 19:06:51 2021,45,0,5.43,-0.28,-5.19,-5.34,-2.34,0.4,2
Wed Apr 28 19:06:52 2021,46,0,5.35,-0.34,-5.36,-2.27,-0.63,1.07,2
Wed Apr 28 19:06:53 2021,47,0,4.92,-0.21,-5.2,-4.24,-4.36,1.05,2
Wed Apr 28 19:06:54 2021,48,0,5.48,0.05,-5.68,-7.44,5.4,-3.29,2
Wed Apr 28 19:06:55 2021,49,0,4.7,-0.09,-5.72,0.05,-0.27,1.15,2
Wed Apr 28 19:06:56 2021,50,0,4.4,-0.13,-5.89,-5.76,-6.96,0.71,2
Wed Apr 28 19:06:57 2021,51,0,4.29,-0.47,-6.36,-0.77,-4.84,1.69,2
Wed Apr 28 19:37:50 2021,0,0,0.76,-0.29,-7,-5.08,-2.27,1.02,2
Wed Apr 28 19:37:52 2021,1,0,0.79,-0.36,-7.05,-5.18,-2.1,0.79,2
Wed Apr 28 19:37:53 2021,2,0,0.76,-0.3,-7.05,-5.23,-2.36,1.05,2
Wed Apr 28 19:37:54 2021,3,0,0.74,-0.25,-7.1,-5.13,-2.09,0.85,2
Wed Apr 28 19:37:55 2021,4,0,0.77,-0.28,-7.01,-5.15,-2.19,1.06,2
Wed Apr 28 19:37:56 2021,5,0,0.68,-0.25,-7,-4.42,-7.18,1.73,2
Wed Apr 28 19:37:57 2021,6,0,0.87,-0.21,-7.11,-4.99,-2.51,-2.11,2
Wed Apr 28 19:37:58 2021,7,0,0.75,-0.3,-7.06,-5.21,-2.25,1.17,2
Wed Apr 28 19:37:59 2021,8,0,0.76,-0.3,-7.09,-5.25,-2.2,1.08,2
Wed Apr 28 19:38:00 2021,9,0,0.75,-0.26,-7.05,-5.24,-2.18,1.08,2
Wed Apr 28 19:38:01 2021,10,0,0.79,-0.31,-7.09,-5.16,-2.08,1.08,2
Wed Apr 28 19:38:02 2021,11,0,0.73,-0.3,-7.06,-5.18,-2.15,0.81,2
Wed Apr 28 19:38:03 2021,12,0,0.74,-0.29,-7.11,-5.18,-2.12,0.82,2
Wed Apr 28 19:38:04 2021,13,0,0.75,-0.26,-6.94,-5.1,-2.21,0.65,2
Wed Apr 28 19:38:05 2021,14,0,0.75,-0.22,-7.07,-5.21,-2.34,0.93,2
Wed Apr 28 19:38:06 2021,15,0,0.71,-0.29,-7.11,-5.24,-2.27,1.07,2
